seed,size,dimension,clusters,rep,hdbscan_time,dbscan_time,adjusted_rand,hdbscan_min_samples,hdbscan_min_cluster_size,dbscan_epsilon,dbscan_min_samples,dbscan_num_cluster,hdbscan_num_clusters,cluster_rand,new_hdbscan_time,new_dbscan_time
38.0,16000,2,50,0.0,0.358019283973,0.175394456135,0.601742314272,5,5,0.364754039509,10.0,9,2,0.603898004105,0.41918542701750994,0.16686075902543962
306.0,16000,2,2,3.0,0.358975974843,4.41341661592,1.0,5,5,1.64415321955,7.0,1,1,1.0,0.4186767959035933,4.320651413989253
36.0,16000,2,2,0.0,0.35898276302,3.31360325613,1.0,5,5,1.31274902068,6.0,1,1,1.0,0.4102631730493158,3.257485472015105
846.0,16000,2,2,9.0,0.360708751949,4.4967179338,1.0,5,5,1.66075800383,10.0,1,1,1.0,0.4145879040006548,4.439391584019177
576.0,16000,2,2,6.0,0.362940269988,0.25972855906,0.60536452905,5,5,0.205394580853,1.0,143,315,0.501898391761,0.41753861808683723,0.25654766999650747
396.0,16000,2,2,4.0,0.36435840698,4.219757332,1.0,5,5,1.59173937633,1.0,1,1,1.0,0.4408619459718466,4.369592906092294
218.0,16000,2,50,2.0,0.366280662129,0.108532822924,0.322765887094,5,5,0.115227649994,5.0,537,573,0.0522974469286,0.4319539030548185,0.10397437505889684
471.0,4000,10,2,5.0,0.370849267812,0.64812262496,1.0,5,5,4.20455249746,10.0,1,1,1.0,0.4273418770171702,0.629623593064025
578.0,16000,2,50,6.0,0.371411501896,0.260581887094,0.969298622676,5,5,0.636252607635,7.0,2,2,0.97080809522,0.4440147429704666,0.2661073610652238
831.0,4000,10,2,9.0,0.381962548941,0.622311303159,1.0,5,5,4.03347842245,10.0,1,1,1.0,0.4229772579856217,0.5641427179798484
375.0,2000,50,2,4.0,0.387865041848,0.50742536108,1.0,5,5,9.8053183291,1.0,1,1,1.0,0.3962383889593184,0.4143398810410872
398.0,16000,2,50,4.0,0.390317673096,0.108958981931,0.287174507143,5,5,0.124047506926,5.0,560,584,0.0509484287699,0.44076120702084154,0.10282369097694755
825.0,2000,50,2,9.0,0.395899474155,0.498779022135,1.0,5,5,9.51183462571,3.0,1,1,1.0,0.4032800770364702,0.4297244829358533
666.0,16000,2,2,7.0,0.398594802944,0.100139254937,4.86029124512e-06,5,5,0.00222869509772,1.0,15900,645,0.00177971269126,0.45910595706664026,0.13023302098736167
105.0,2000,50,2,1.0,0.404854210094,0.511840838939,1.0,5,5,10.0569181759,10.0,1,1,1.0,0.3939437560038641,0.43751993402838707
645.0,2000,50,2,7.0,0.409859945998,0.505576183787,1.0,5,5,9.75900203522,10.0,1,1,1.0,0.4147263609338552,0.41192107798997313
15.0,2000,50,2,0.0,0.41003803513,0.498930939008,1.0,5,5,9.45306767114,10.0,1,1,1.0,0.42086877999827266,0.4192087100818753
195.0,2000,50,2,2.0,0.410956857027,0.509372798027,1.0,5,5,9.84261926038,10.0,1,1,1.0,0.41946126299444586,0.457149789086543
465.0,2000,50,2,5.0,0.414847570006,0.503576440038,1.0,5,5,9.6706148285,10.0,1,1,1.0,0.4317529440158978,0.4638794120401144
555.0,2000,50,2,6.0,0.416397028137,0.503177205101,1.0,5,5,9.80153149637,10.0,1,1,1.0,0.42384049901738763,0.4254998260876164
735.0,2000,50,2,8.0,0.418787688017,0.518931378843,1.0,5,5,9.9299267839,10.0,1,1,1.0,0.4156392889562994,0.4374623199691996
